number_flights,origin_fips,dest_fips
538,13063,45019
538,42045,12057
539,12057,42045
540,06037,48201
541,45019,13063
543,06059,08031
544,41051,49035
546,37119,24003
546,19153,17031
546,08031,06059
549,12011,17031
550,37119,25025
550,49035,41051
550,17031,12011
551,37119,12086
551,12086,37119
552,15003,06037
553,06037,15003
553,37119,12011
554,36081,12057
555,25025,37119
555,12057,36081
556,37119,48201
558,48201,37119
563,32003,13063
565,04013,41051
565,24003,25025
565,41051,04013
566,48113,29165
566,25025,24003
566,13063,32003
568,37119,12095
568,12095,37119
569,08031,41051
569,37119,42045
572,37183,42045
572,47157,13063
572,08031,12095
573,12095,08031
574,42045,37183
574,42045,37119
575,29165,48113
578,13063,47157
583,08031,06001
584,06001,08031
587,36029,17031
587,53033,53063
587,17031,36029
587,17031,37183
589,41051,08031
590,49035,16001
590,16001,49035
591,53063,53033
594,37183,17031
594,22051,13063
596,08031,27053
596,48201,40109
598,17031,19153
598,08031,36081
598,42045,12011
599,13063,37183
600,12011,42045
600,04019,04013
601,04013,06081
603,36081,08031
603,06081,04013
604,13063,22051
604,26163,36081
605,49035,06081
605,40109,48201
606,04013,48439
608,48439,04013
608,26163,13063
610,32003,48439
610,48439,32003
610,13063,26163
611,37183,13063
612,12095,51107
612,51107,12095
619,17031,55025
621,33011,24003
627,27053,13063
629,13063,27053
629,24003,33011
629,06081,53033
631,55025,17031
631,24003,13063
633,13063,24003
633,06037,13063
633,53033,06081
634,13063,06037
634,17031,09003
637,36081,26163
639,06037,51107
641,42003,42045
643,25025,13063
645,13063,25025
646,06001,53033
652,04013,04019
652,17031,18097
653,18097,17031
655,53033,06001
655,06073,17031
657,53033,32003
658,27053,08031
658,06019,06037
660,06001,06059
661,06037,06019
662,32003,53033
662,06071,32003
662,32003,06071
666,06059,06001
667,06081,49035
670,06071,06067
671,09003,17031
671,06085,06059
672,32003,06067
672,04013,13063
672,08041,08031
672,08031,08041
672,06067,32003
673,06067,06071
673,44003,24003
674,13063,51107
675,24003,44003
675,13063,04013
676,06059,06085
676,51107,13063
680,06001,06071
680,06071,06001
681,06085,04013
684,06059,32003
686,13063,12031
688,12031,13063
689,48141,04013
690,04013,06001
691,08031,48201
691,53033,04013
691,04013,53033
691,04013,48141
692,32003,06059
692,06067,04013
695,04013,06067
696,04013,06085
697,53033,17031
697,48201,08031
698,51107,06037
698,48453,48201
700,36081,21015
701,48201,48453
702,47037,48201
702,06073,08031
703,08031,06073
704,21015,36081
705,12095,24003
709,32003,06085
710,48201,47037
710,24003,12095
713,04019,06037
714,17031,06073
716,06037,48439
716,06037,04019
717,48439,06037
723,06085,32003
723,17031,21111
723,21111,17031
725,12057,17031
736,17031,53033
742,06081,08031
743,17031,12057
746,48201,48029
747,06001,04013
748,06085,06073
748,48029,48201
749,06067,06073
751,06073,06085
751,17031,21015
754,37183,36081
755,13063,08031
760,12086,13063
762,06073,06067
765,13063,12086
773,48439,48201
774,21015,17031
774,48201,48439
783,37119,17031
790,08031,29165
791,17031,51107
792,32003,49035
797,51107,17031
799,49035,32003
799,42045,13063
800,17031,25025
800,25025,17031
801,48113,48029
801,48061,48201
802,34013,13063
802,13063,34013
803,48201,48061
805,13063,42045
809,08031,13063
815,48029,48113
823,32003,32031
824,32031,32003
824,12095,36081
825,29165,08031
827,36081,12095
834,12057,13063
835,36081,06081
838,08031,06081
838,12011,36081
839,36081,12011
842,13063,12057
844,17031,37119
850,17031,31055
850,17031,42003
851,51013,13063
853,48439,17031
853,13063,51013
856,17031,48439
856,08031,08097
856,42003,17031
857,04013,48201
858,47037,17031
860,06037,06083
863,34013,37119
865,08097,08031
865,37119,34013
868,06083,06037
873,48201,04013
878,36081,37183
881,06081,36081
882,17031,06081
882,31055,17031
891,08031,53033
898,12011,13063
899,13063,12011
910,04013,06059
914,06059,04013
915,04013,35001
915,17031,24003
915,24003,17031
917,06001,32003
926,17031,47037
927,17031,48201
928,48201,13063
928,35001,04013
933,17031,34013
934,48453,48113
934,06081,17031
934,25025,42045
936,53033,08031
938,48113,48453
941,42045,25025
943,32003,06073
949,53033,06037
949,17031,39049
950,06073,32003
950,48201,17031
950,06037,53033
968,32003,06001
972,13063,48201
975,51013,17031
975,17031,51013
981,12095,42045
983,42045,12095
984,34013,17031
985,13063,48439
987,48439,13063
1002,29189,17031
1007,48201,22051
1010,39049,17031
1011,06001,06073
1012,22051,48201
1021,06073,06001
1032,04013,06071
1033,48439,08031
1033,08031,48439
1039,06081,06073
1039,13063,37119
1040,06071,04013
1044,37119,13063
1070,17031,29189
1072,36081,37119
1080,12095,13063
1090,13063,12095
1096,29165,17031
1099,06073,06081
1100,17031,12095
1104,12095,17031
1118,17031,39035
1124,39035,17031
1138,37119,36081
1153,17031,04013
1164,06081,32003
1168,17031,29165
1169,04013,17031
1170,32003,06081
1172,36081,06037
1174,06037,36081
1175,49035,04013
1180,04013,49035
1251,17031,13063
1252,27053,17031
1270,15007,15003
1298,08031,32003
1300,32003,08031
1301,15003,15007
1319,13063,17031
1330,17031,06037
1335,17031,26163
1347,17031,27053
1350,08031,04013
1353,51013,25025
1355,04013,08031
1364,26163,17031
1366,25025,51013
1372,17031,42045
1381,06073,04013
1386,06037,17031
1397,04013,06073
1410,17031,08031
1413,17031,32003
1418,32003,17031
1430,08031,17031
1438,06037,49035
1438,42045,17031
1444,49035,06037
1455,08031,49035
1484,13063,36081
1512,49035,08031
1516,15003,15009
1528,36081,13063
1546,06037,08031
1548,15009,15003
1566,08031,06037
1731,36081,17031
1750,06073,06037
1751,06037,06073
1755,17031,36081
1764,06037,06067
1772,06067,06037
1878,04013,32003
1982,36081,51013
1986,51013,36081
2007,32003,04013
2066,15001,15003
2067,15003,15001
2077,06085,06037
2080,06037,06085
2298,25025,36081
2301,48113,48201
2302,36081,25025
2319,48201,48113
2439,06037,06081
2444,06081,06037
2451,06037,06001
2472,06001,06037
2779,32003,06037
2884,06037,04013
2888,06037,32003
2991,04013,06037
